clarification_id,project_id,locale,type,blocker,asked_on,answered_on
C-501,P-2401,EN-TR,Terminology,No,2026-01-07,2026-01-07
C-502,P-2402,EN-IT,Formality,Yes,2026-01-10,2026-01-11
C-503,P-2403,EN-TR,Legal,Yes,2026-01-18,2026-01-19
C-504,P-2404,EN-IT,Style,No,2026-01-20,2026-01-20
C-505,P-2405,EN-TR,Tone,No,2026-01-24,2026-01-25
C-506,P-2406,EN-IT,Terminology,No,2026-01-30,2026-01-30
C-507,P-2407,EN-TR,Product Meaning,Yes,2026-02-04,2026-02-05
C-508,P-2408,EN-IT,Gender Agreement,Yes,2026-02-08,2026-02-10
C-509,P-2409,EN-TR,Terminology,No,2026-02-12,
C-510,P-2410,EN-IT,Legal,Yes,2026-02-16,
C-511,P-2411,EN-TR,Style,No,2026-02-18,2026-02-18
C-512,P-2412,EN-IT,Tone,No,2026-02-22,2026-02-23
