project_id,locale,wordcount,start_date,due_date,delivered_date,status
P-2401,EN-TR,18500,2026-01-05,2026-01-12,2026-01-11,Delivered
P-2402,EN-IT,16200,2026-01-06,2026-01-15,2026-01-16,Delivered Late
P-2403,EN-TR,9200,2026-01-12,2026-01-20,2026-01-20,Delivered
P-2404,EN-IT,11800,2026-01-15,2026-01-23,2026-01-22,Delivered
P-2405,EN-TR,25600,2026-01-18,2026-01-28,2026-01-29,Delivered Late
P-2406,EN-IT,7400,2026-01-26,2026-02-02,2026-02-01,Delivered
P-2407,EN-TR,13100,2026-01-30,2026-02-07,2026-02-07,Delivered
P-2408,EN-IT,21400,2026-02-02,2026-02-11,2026-02-13,Delivered Late
P-2409,EN-TR,8700,2026-02-07,2026-02-14,,In Progress
P-2410,EN-IT,9800,2026-02-10,2026-02-18,,At Risk
P-2411,EN-TR,14300,2026-02-12,2026-02-21,2026-02-20,Delivered
P-2412,EN-IT,12600,2026-02-15,2026-02-25,2026-02-24,Delivered
